Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.65170	97.73331	99.34034	97.27847	1105.20728	4547.04150	259.15375	0.00000	1.00000	682.30176	5179.45605	7980	1	-1	1	0	0
1	99.64913	97.63302	99.35612	97.22369	1152.51099	4859.96533	262.07306	0.00000	1.00000	629.19061	5567.23682	8081	1	-1	1	0	0
1	99.53296	97.64582	99.30278	97.28763	1300.70691	4599.99316	239.89355	0.00000	1.00000	646.35352	5513.16211	8182	1	-1	1	0	0
1	99.51855	97.51311	99.30827	97.16518	1360.82483	3841.28198	214.42995	0.00000	1.00000	713.46771	4294.30518	8283	1	-1	1	0	0
1	99.58555	97.73164	99.33401	97.32722	1251.34619	6346.12695	287.39853	0.00000	1.00000	645.31964	6550.01270	8384	1	-1	1	0	0
1	99.63058	97.64722	99.35884	97.29482	1419.68945	5065.04590	235.36528	0.00000	1.00000	659.39728	5657.06982	8485	1	-1	1	0	0
1	99.55186	97.38600	99.30845	97.15097	1166.97595	5184.49023	269.19470	0.00000	1.00000	673.82025	5846.49365	8586	1	-1	1	0	0
1	99.55254	97.53141	99.23618	97.19090	1397.68896	6034.34717	266.68488	0.00000	1.00000	595.61517	6769.62061	8687	1	-1	1	0	0
1	99.92912	97.92872	99.46874	97.36020	1002.98352	4387.11084	266.72339	0.00000	1.00000	611.86694	4990.32715	8788	1	-1	1	0	0
1	99.74018	97.89214	99.32595	97.29881	943.79492	4472.03857	277.82272	0.00000	1.00000	649.10016	4960.49414	8889	1	-1	1	0	0
1	99.55699	97.66341	99.25901	97.15513	1036.74780	4575.86572	263.57986	0.00000	1.00000	684.28528	5129.86816	8990	1	-1	1	0	0
1	99.65282	97.82500	99.38475	97.28646	1201.09229	4725.65479	244.66785	0.00000	1.00000	679.18427	5446.39355	9091	1	-1	1	0	0
1	99.52019	97.84886	99.26882	97.24377	1130.63867	5088.00146	270.93918	0.00000	1.00000	642.32092	5404.97705	9192	1	-1	1	0	0
1	99.62756	97.90643	99.33453	97.31364	987.35101	4016.85791	257.46741	0.00000	1.00000	691.01233	4629.69385	9293	1	-1	1	0	0
